Tweets,Tweet Count
"RT @_iamtomi: It will cost you $0.00 to Retweet this. 

#LekkiMassacre #LekkiGenocide
#EndSARS #unarmed https://t.co/67LBUpOanx",41903
"RT @BBCAfrica: There have been reports of shooting at the location of an #EndSARS protest in Lekki, a wealthy suburb of Lagos, Nigeria. A n…",83850
RT @HillaryClinton: I’m calling on @mbuhari and the @hqnigerianarmy to stop killing young #EndSARS protesters. #StopNigeriaGovernment,207673
"RT @ImCaptain__Sam: It will cost you <U+20A6>0 to Retweet this iconic video!

#EndSARS  #EndPoliceBrutality
#ReformTheNigeriaPolice 
#EndBadGovern…",46524
RT @NICKIMINAJ: Standing with &amp; praying for the brave young people of Nigeria who are on the front lines of this senseless violence. Your v…,78224
"RT @omidanabeni: Muslim protesters are praying, Christian protesters are guiding them to protect them. This is the NIGERIA OF MY DREAM.

#E…",41005
RT @OmoKiikan: It will cost you $0 to retweet these #EndSARS pictures https://t.co/GGXvLqAQlb,121415
"RT @preshdeyforyou: If this pops on your timeline, retweet with ANGER #EndSARS  #EndPoliceBrutalityinNigeraNOW https://t.co/6S03gE902N",108927
"RT @preshdeyforyou: Ladies and Gentlemen!! This is why we protest #EndSARS 

It will cost you $0.00 to Retweet this till the government com…",46976
RT @rihanna: Peaceful protest is a human right!! #EndSARS,59075
RT @rihanna: Peaceful protest is a human right!! #EndSARS https://t.co/znkoFpcw5i,59076
"RT @seyiolayinka_: Don't say anything just Retweet
#5for5 #SARSMUSTEND #SarsMustGo #SARSOUT #SarsMustGo #EndSARS https://t.co/kErVrp4R6X",64026
"RT @tammyabraham: Dear Nigeria 

#EndSARS #EndPoliceBrutality <U+0001F64F><U+0001F3FE><U+0001F1F3><U+0001F1EC><U+0001F494>",60218
