Tweets,created,Tweet Count,Retweets,Day,Date,,,,,,,,,,
"RT @SaharaReporters: I Was Denied Food, Beaten ‘Black And Blue’ —Activist Arrested For Filming @PoliceNG Harassment | Sahara Reporters 
@TU…",3/25/2021 2:32:47 PM,604,TRUE,25,3/25/2021,,,,,,,,,,
"RT @BruceEsther2: This video here by @DeleFarotimi
is my video of the month, I rate it mire than any music video from wizkid or any artiste…",3/25/2021 2:30:28 PM,1412,TRUE,25,3/25/2021,,,,,,,,,,
"RT @OnlyOnlineFrie1: Once upon a time I had a home and a family....

#stopkillingYemenis 
#EndSARS 
@sydney_talker 
@Nigerianscamsss 
@davi…",3/25/2021 2:30:05 PM,7,TRUE,25,3/25/2021,,,,,,,,,,
"RT @nafeezi: Who ordered the shooting of #EndSARS protesters at Lekki toll gate on 20/10/2020?

#LekkiMassacre",3/25/2021 2:29:25 PM,52,TRUE,25,3/25/2021,,,,,,,,,,
RT @TheBiafraExit: This is Nigeria Security forces shooting unarmed civilian during #EndSARS and you ask us to keep quite #UGM https://t.co…,3/25/2021 2:29:21 PM,153,TRUE,25,3/25/2021,,,,,,,,,,
RT @AmnestyNigeria: It is exactly 5-months since the horrific shooting of #EndSARS protesters at Lekki Toll Gate Lagos. No one has been bro…,3/25/2021 2:27:53 PM,1286,TRUE,25,3/25/2021,,,,,,,,,,
"Oh you want homosexual cake?...1 million dollars!!! Oh no, you not want, well if you insist on looking elsewhere I… https://t.co/qRiBMRqJyF",3/25/2021 2:27:39 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
"Sometimes I just shake my head to make sure my brain is still inside.

Kindly following back<U+0001F64F><U+0001F64F>

Airtime Tom and Jer… https://t.co/UaBGzbv7Zo",3/25/2021 2:26:20 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
"RT @Horiawlar: Gave a presentation in class on being a Nigerian man in America. My Professor was very impressed.

I designed my cover page…",3/25/2021 2:26:08 PM,851,TRUE,25,3/25/2021,,,,,,,,,,
Just relocation without any punishment or demotion #FreeTundeAbass #endsars https://t.co/Yx6sEWk8Zg,3/25/2021 2:25:03 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
RT @OsosaChris: Where are the beautiful ones? How trust worthy is the younger generation with leadership? How ready are they for the big ga…,3/25/2021 2:24:35 PM,4,TRUE,25,3/25/2021,,,,,,,,,,
"So far @penielcards is still the best Printing company that produces Thank You cards in Nigeria.

Their customer se… https://t.co/PL3YNk1pog",3/25/2021 2:22:30 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
"RT @NexSamson: #endsars 
Sars in Port Harcourt again oo
Searching boys phones at chinda /ada-george precisely
#endEcrack",3/25/2021 2:21:17 PM,2,TRUE,25,3/25/2021,,,,,,,,,,
"RT @General_vXYZ: Hey!!! Whenever you see me lying down on my back, always beware <U+0001F633><U+0001F633><U+0001F633><U+0001F633> #mazinnamdikanu #EndNigeriaNow #EndSARS #freebiafran…",3/25/2021 2:19:39 PM,1,TRUE,25,3/25/2021,,,,,,,,,,
"RT @Real_AmakaIke: Corruption,impunity and extra judicial killings gets worse after the aborted #Endsars as @MaziNnamdiKanu warned,it will…",3/25/2021 2:19:38 PM,96,TRUE,25,3/25/2021,,,,,,,,,,
