"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Legend Leggend Home Theatre System With Bluetooth &amp; USB Port | https://t.co/aEq1BQfM3j https://t.co/RpMYcl5QpC",FALSE,0,NA,2019-02-26 21:00:42,FALSE,NA,"1100500928090779652",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Airboh",0,FALSE,FALSE,NA,NA
"RT @InfinixGhana: Buy a Hot 7 exclusively on Jumia today and win free gifts instantly. Visit
https://t.co/Qy5wB89t8r now to make a purchase…",FALSE,0,NA,2019-02-26 20:59:48,FALSE,NA,"1100500701153820672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NaaOde1",39,TRUE,FALSE,NA,NA
"Check out the Global Store on Jumia Nigeria, where everything is under <U+20A6>5,000 and shipped from abroad.

Start shopp… https://t.co/KJhme9g0LY",FALSE,0,"Bagzton",2019-02-26 20:52:27,TRUE,"1100498706716155904","1100498854607233027","108118278","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bagzton",0,FALSE,FALSE,NA,NA
"The Latest fashion trends do not need you to spend a fortune or go overboard on your budget just to keep up.

Check… https://t.co/NnMY0zsNfA",FALSE,0,"Bagzton",2019-02-26 20:51:52,TRUE,"1100411681006473216","1100498706716155904","108118278","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bagzton",0,FALSE,FALSE,NA,NA
"RT @JumiaGhana: Hello Accra! 
Kindly take note of locations in Accra where cash on delivery is accepted. Check https://t.co/ZpTiyjHKzm for…",FALSE,0,NA,2019-02-26 20:49:40,FALSE,NA,"1100498152413630465",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NanaAkossuaa",7,TRUE,FALSE,NA,NA
"RT @JumiaGhana: Get ready for the Mega Independence Day Promo from Monday the 4th to Sunday 10th of March! 
Up to 75% off the best electron…",FALSE,0,NA,2019-02-26 20:49:15,FALSE,NA,"1100498048952745985",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NanaAkossuaa",2,TRUE,FALSE,NA,NA
"RT @imosenig: True friends make you fall in love <U+2764><U+FE0F>

Wouldn't you rather buy Imose: https://t.co/w4tbTTmn3e

#ProudlyNigerian
#ProudlyAfric…",FALSE,0,NA,2019-02-26 20:48:29,FALSE,NA,"1100497853791850504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PrinzOfLagos",1,TRUE,FALSE,NA,NA
"@SubDeliveryZone Check out the Global Store on Jumia Nigeria, where everything is under <U+20A6>5,000 and shipped from abr… https://t.co/aHUiJ8FMlT",FALSE,0,"SubDeliveryZone",2019-02-26 20:43:51,TRUE,"1100486020129345552","1100496686714105858","892400664638304256","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bagzton",0,FALSE,FALSE,NA,NA
"@AliyuAb84983312 Hello Aliyu, thank you for choosing to shop with Jumia.
We currently do not have IPhone 6x availab… https://t.co/mNK1WgHMOt",FALSE,0,"AliyuAb84983312",2019-02-26 20:43:38,TRUE,"1100494254009446402","1100496633006116865","1850907390","<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>","JumiaNGHelp",0,FALSE,FALSE,NA,NA
"RT @ThunderHey: @Jaojewel @AkwasiChapterz Jumia...3months guarantee",FALSE,0,NA,2019-02-26 20:41:58,FALSE,NA,"1100496214099939330",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jaojewel",1,TRUE,FALSE,NA,NA
"@Jaojewel @AkwasiChapterz Jumia...3months guarantee",FALSE,1,"Jaojewel",2019-02-26 20:39:41,FALSE,"1100028700689604608","1100495640726065153","2294507060","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThunderHey",1,FALSE,FALSE,NA,NA
"@uNdlunkulu_Xoli Ordered from Jumia...",FALSE,0,"uNdlunkulu_Xoli",2019-02-26 20:34:13,FALSE,"1099981499426881537","1100494264235188224","377590058","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bakunda_EmmaJr",0,FALSE,FALSE,NA,NA
"RT @huaweimobileng: Have a stress-free navigation process on #Y7Prime2019 with Easy Mode. Pre-order from March 4th to 10th on Jumia to get…",FALSE,0,NA,2019-02-26 20:33:33,FALSE,NA,"1100494094932021249",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Farajj_Elshatt",9,TRUE,FALSE,NA,NA
"RT @_ifeoluwadavid: Hi ! You know about *JUMIA* right? Of course you know us na, WE ARE AFRICA'S number one online shopping mall.. https://…",FALSE,0,NA,2019-02-26 20:26:00,FALSE,NA,"1100492196652957701",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PHtraffic",2,TRUE,FALSE,NA,NA
"@YouthsForAtiku, oga still wan sell NNPC? Make we upload am for Alibaba or jumia",FALSE,0,"YouthsForAtiku",2019-02-26 20:21:45,FALSE,NA,"1100491128325976066","533147298","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sfaroukumar",0,FALSE,FALSE,NA,NA
"I swear if I hear pim from any northerner about herdsmen of Boko Haram, I go order Thunder from Jumia straight <U+0001F624> https://t.co/EXWAUF3VzI",FALSE,1,NA,2019-02-26 20:13:59,FALSE,NA,"1100489170999541763",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DamolaToy_",0,FALSE,FALSE,NA,NA
"@_armerillo ...well, I ordered on Jumia cos I couldn’t find it around",FALSE,0,"_armerillo",2019-02-26 20:11:36,FALSE,"1100488394990325762","1100488573529321474","856932589877243904","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Umars_Daughter",0,FALSE,FALSE,NA,NA
"RT @JumiaGhana: Hello Accra! 
Kindly take note of locations in Accra where cash on delivery is accepted. Check https://t.co/ZpTiyjHKzm for…",FALSE,0,NA,2019-02-26 19:58:24,FALSE,NA,"1100485250856243206",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","el_mejot",7,TRUE,FALSE,NA,NA
"Why in God's name is jumia doing this to me -__-",FALSE,0,NA,2019-02-26 19:57:46,FALSE,NA,"1100485092840038406",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Vickankillz",0,FALSE,FALSE,NA,NA
"RT @JumiaGhana: We're giving you the FREEDOM to shop all you want in the Independence month! Get up to 75% discount on electronics, fashion…",FALSE,0,NA,2019-02-26 19:57:19,FALSE,NA,"1100484980000600066",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","el_mejot",1,TRUE,FALSE,NA,NA
"Jumia commits to providing affordable and stable prices to Ghanaians https://t.co/Yz8YalvAON""",FALSE,0,NA,2019-02-26 19:54:02,FALSE,NA,"1100484153861013504",NA,"<a href=""http://ghanaguardian.com"" rel=""nofollow"">GhanaGuardian AutoPost</a>","ghanaguardian1",0,FALSE,FALSE,NA,NA
"RT @InfinixGhana: Buy a Hot 7 exclusively on Jumia today and win free gifts instantly. Visit
https://t.co/Qy5wB89t8r now to make a purchase…",FALSE,0,NA,2019-02-26 19:49:19,FALSE,NA,"1100482963601612800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JonEd3030",39,TRUE,FALSE,NA,NA
"@VOICEOFCHID I'm shocked you are even into crypto tbh.

You don't seem like the type to ""gamble"" <U+0001F602>

If you want a g… https://t.co/qUoxqjcNQv",FALSE,0,"VOICEOFCHID",2019-02-26 19:48:05,TRUE,"1100467639900692480","1100482656654057472","219472386","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","afj617",0,FALSE,FALSE,NA,NA
